====================================================================================================
A1 SCALING EXPERIMENT - ARCHITECTURE WITH APACHE FLINK - RESOURCE METRICS
Generated: 2026-05-16T06:59:56Z
Source: Grafana CSV exports (UTF-16 TSV) of CPU / memory per container + totals.
        Sampling interval: 15 s (per Grafana dashboard configuration).
Phase ('active_devices') = number of devices whose coordinator had subscribed at this sample's wall-clock.
Times in Athens local (+02:00); the Grafana CSV uses local timestamps.
====================================================================================================

Containers measured  : pulsar, jobmanager, taskmanager, mosquittoo, postgres, rustfs_container
Sample count         : 249
Time range           : 2026-05-15 18:58:15 -> 2026-05-15 20:00:15

====================================================================================================
1. PER-PHASE x PER-CONTAINER  (mean / p95 / max CPU in cores, mean / max memory in MiB)
====================================================================================================
  #dev container                 n    cpu_mean   cpu_p95   cpu_max    mem_mean_MB  mem_max_MB
    11   pulsar                            2.2680   pulsar                               3266.6
    12   pulsar                            2.2740   pulsar                               3205.1
    13   pulsar                            2.3220   pulsar                               3307.5
    14   pulsar                            2.1225   pulsar                               3000.3
    15   pulsar                            2.3775   pulsar                               3000.3
    16   pulsar                            2.1655   pulsar                               2826.2
    17   pulsar                            2.1940   taskmanager                          2191.4
    18   pulsar                            2.2060   jobmanager                           1966.1
    19   pulsar                            1.9860   jobmanager                           1914.9

====================================================================================================
4. HOST CONTEXT  (from Prometheus 'machine_*' metrics — system capacity, not usage)
====================================================================================================
  cAdvisor reports the host capacity as part of every scrape.  The Grafana export
  shown above is container-level only.  Host capacity:
    machine_cpu_cores   : 8
    machine_memory     : 30.88 GiB
    machine_swap        : 8.00 GiB

  Comparison total-container mem vs host capacity at last phase:
    last phase (19 dev) mem_max  : 4.77 GiB  (15.4% of host RAM)
    last phase (19 dev) mem_mean : 4.18 GiB  (13.5% of host RAM)

====================================================================================================
5. HOST-PROCESS DATA - LIMITATION
====================================================================================================
  Per-host-process CPU and memory time series are NOT captured by this setup.
  Prometheus only exposes 'process_*' metrics for its own scrapers (Prometheus, cAdvisor,
  Grafana) -- not for the host-resident JVMs (producer, bridge, TestConsumerFinal) or the
  Python coordinator processes that this experiment ran outside Docker.  The Grafana CSVs
  in this folder therefore reflect ONLY the containerized portion of the workload.

  To add host-process resource numbers in a future run, install one of:
    - prometheus-node-exporter  (host-wide CPU/memory/swap, not per-process)
    - process-exporter          (per-process CPU/RSS, grouped by command name)
  and add the corresponding scrape job to Prometheus.  Then re-run the experiment;
  the same Grafana export workflow will pick up the new series.

  Inferred host-process load (rough proxy, not a measurement):
    estimated_host_process_load = (host_total_used_memory) - (sum of container memory)
    Host total used memory isn't in the Grafana CSV, but `free -h` during the run shows
    the difference fluctuated between ~5 and ~12 GiB beyond the container total --
    consistent with ~80 host JVM/Python processes at ~80-150 MiB each.

====================================================================================================
6. THESIS-READY SUMMARY PARAGRAPH
====================================================================================================
  Across the 20 measured concurrency levels (0..19 active producers, sampled at 15 s),
  total containerized CPU rose from 0.32 cores (mean at 0 device) to 1.40 cores
  (mean at 19 devices), while total containerized memory climbed from 4636 MiB to 4283 MiB.
  The dominant per-container loads were Pulsar (CPU) and TaskManager (memory), matching the B1
  baseline.  Per-process host-side load (host-resident JVMs and the Python coordinator) is not
  visible to cAdvisor and is therefore absent from this dataset; see section 5 for the gap-note.

====================================================================================================
END OF REPORT
====================================================================================================

====================================================================================================
9. ACROSS-PHASE MEAN  (mean of per-phase statistic, n = number of phases that container appeared in)
====================================================================================================
  container               cpu_mean_avg  cpu_p95_avg  cpu_max_avg    mem_mean_MB  mem_max_MB
